事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
《中国教育改革和发展纲要》,,中共中央、国务院印发《中国教育改革和发展纲要》。指出，到20世纪末，我国要实现基本普及九年义务教育，基本扫除青壮年文盲。,1993年2月13日,,文献事件,,,,,,,,,,,
全国政协八届一次会议,,,1993年3月14日－1993年3月27日,,会议事件,李瑞环,,,,,,,,,,
八届全国人大一次会议,,会议通过的《中华人民共和国宪法修正案》肯定中国正处于社会主义初级阶段，国家实行社会主义市场经济；明确中国共产党领导的多党合作和政治协商制度将长期存在和发展；通过《中华人民共和国澳门特别行政区基本法》、《关于〈中华人民共和国澳门特别行政区基本法〉的决定》、《关于设立中华人民共和国澳门特别行政区的决定》。会议选举江泽民为国家主席、国家中央军委主席，乔石为全国人大常委会委员长，决定李鹏为国务院总理。会议批准国务院机构改革方案，首次明确提出机构改革的重点是转变政府职能。,1993年3月15日－1993年3月31日,,会议事件,"江泽民,乔石,李鹏",,,,,,,,,,
海峡两岸关系协会会长汪道涵和台湾海峡交流基金会董事长辜振甫签订《汪辜会谈共同协议》等四项协议,,海峡两岸关系协会会长汪道涵和台湾海峡交流基金会董事长辜振甫在新加坡举行会谈并签订《汪辜会谈共同协议》等四项协议。这是两岸受权民间机构领导人的第一次会谈。,1993年4月27日－1993年4月29日,新加坡,文献事件,,,,,,,,,,,
《关于重点建设一批高等学校和重点学科点的若干意见》,,国家教委印发《关于重点建设一批高等学校和重点学科点的若干意见》，提出面向21世纪重点建设100所左右的高等学校和一批重点学科点的计划，简称“211工程”。1998年5月，江泽民提出，我国要有若干所具有世界先进水平的一流大学。,1993年7月15日,,文献事件,,,,,,,,,,,
国务院批转教育部《面向21世纪教育振兴行动计划》,,国务院批转教育部《面向21世纪教育振兴行动计划》，提出创建若干所具有世界先进水平的一流大学和一批一流学科，简称“985工程”。,1999年1月,,文献事件,,,,,,,,,,,
《邓小平文选》第三卷出版,,,1993年10月,,文献事件,,,,,,,,,,,
《邓小平文选》第一卷、第二卷出版,,,1994年10月,,文献事件,,,,,,,,,,,
《关于当前农业和农村经济发展的若干政策措施》,,中共中央、国务院印发《关于当前农业和农村经济发展的若干政策措施》，提出在原定的耕地承包期到期之后，再延长30年不变。,1993年11月5日,,文献事件,,,,,,,,,,,
中共十四届三中全会,,中共十四届三中全会召开。全会通过《关于建立社会主义市场经济体制若干问题的决定》，勾画了社会主义市场经济体制的基本框架。指出，社会主义市场经济体制是同社会主义基本制度结合在一起的，建立社会主义市场经济体制，就是要使市场在国家宏观调控下对资源配置起基础性作用。要进一步转换国有企业经营机制，建立适应市场经济要求，产权清晰、权责明确、政企分开、管理科学的现代企业制度。,1993年11月11日－1993年11月14日,,会议事件,,,,,,,,,,,
《关于实行分税制财政管理体制的决定》,,国务院作出《关于实行分税制财政管理体制的决定》，确定从1994年1月1日起改革地方财政包干体制，对各省、自治区、直辖市以及计划单列市实行分税制财政管理体制。,1993年12月15日,,文献事件,,,,,,,,,,,
《关于金融体制改革的决定》,,国务院作出《关于金融体制改革的决定》。提出，建立在国务院领导下，独立执行货币政策的中央银行宏观调控体系；建立政策性金融与商业性金融分离，以国有商业银行为主体、多种金融机构并存的金融组织体系；建立统一开放、有序竞争、严格管理的金融市场体系。,1993年12月25日,,文献事件,,,,,,,,,,,
纪念毛泽东诞辰100周年大会,, 纪念毛泽东诞辰100周年大会召开。江泽民发表讲话，高度评价毛泽东一生的丰功伟绩，强调毛泽东思想永远是中国共产党人的理论宝库和中华民族的精神支柱。,1993年12月26日,,会议事件,毛泽东,,,,,,,,,,
《关于进一步深化对外贸易体制改革的决定》,,国务院作出《关于进一步深化对外贸易体制改革的决定》。指出，我国外贸体制改革的目标是：统一政策、放开经营、平等竞争、自负盈亏、工贸结合、推行代理制，建立适应国际经济通行规则的运行机制。,1994年1月11日,,文献事件,,,,,,,,,,,
国务院召开全国扶贫开发工作会议,,国务院召开全国扶贫开发工作会议，部署实施国家八七扶贫攻坚计划，要求力争在20世纪末最后的七年内基本解决全国8000万贫困人口的温饱问题。,1994年2月28日－1994年3月3日,,会议事件,,,,,,,,,,,
全国政协八届二次会议,,全国政协八届二次会议审议通过《中国人民政治协商会议章程》（修正案），把政治协商、民主监督、参政议政并列为人民政协的主要职能。,1994年3月8日-1994年3月19日,,会议事件,,,,,,,,,,,
八届全国人大二次会议,,,1994年3月10日-1994年3月22日,,会议事件,,,,,,,,,,,
国务院常务会议,,,1994年3月25日,,会议事件,,,,,,,,,,,
八届全国人大常委会第八次会议,,,1994年7月5日,,会议事件,,,,,,,,,,,
第三次西藏工作座谈会,,中共中央、国务院召开第三次西藏工作座谈会。会议作出中央政府关心西藏、全国各地支援西藏的重大决策。此后，中央不断采取有力措施加大对西藏现代化发展的支持力度。,1994年7月20日－1994年7月23日,,会议事件,,"中共中央,国务院",,,,,,,,,
《爱国主义教育实施纲要》,,中共中央印发《爱国主义教育实施纲要》，提出要把爱国主义教育作为提高全民族整体素质和加强社会主义精神文明建设的基础工程。,1994年8月23日,,文献事件,,,,,,,,,,,
《关于进一步加强和改进学校德育工作的若干意见》,,,1994年8月31日,,文献事件,,,,,,,,,,,
中共十四届四中全会,,中共十四届四中全会召开。全会通过《关于加强党的建设几个重大问题的决定》，把党的建设提到新的伟大工程的高度。,1994年9月25日－1994年9月28日,,会议事件,,,,,,,,,,,
《中国共产党党员权利保障条例（试行）》,,,1995年1月7日,,文献事件,,,,,,,,,,,
《中国共产党党员权利保障条例》,,,2004年9月22日,,文献事件,,,,,,,,,,,
《为促进祖国统一大业的完成而继续奋斗》讲话,,江泽民发表《为促进祖国统一大业的完成而继续奋斗》讲话，提出现阶段发展两岸关系、推进祖国和平统一进程的八项主张。,1995年1月30日,,文献事件,,,,,,,,,,,
《党政领导干部选拔任用工作暂行条例》,,,1995年2月9日,,文献事件,,,,,,,,,,,
《党政领导干部选拔任用工作条例》,,,2002年7月9日,,文献事件,,,,,,,,,,,
八届全国人大三次会议,,,1995年3月18日,,会议事件,,,,,,,,,,,
《关于加速科学技术进步的决定》,,,1995年5月6日,,文献事件,,,实施科教兴国战略,,,,,,,,
《马克思恩格斯全集》中文第二版开始分卷出版,,《马克思恩格斯全集》中文第二版开始分卷出版。到2021年6月，已出版32卷。,1995年6月,,文献事件,,,,,,,,,,,
中共十四届五中全会,,中共十四届五中全会召开。全会通过《关于制定国民经济和社会发展“九五”计划和2010年远景目标的建议》。提出，实行经济体制从传统的计划经济体制向社会主义市场经济体制转变，经济增长方式从粗放型向集约型转变这两个具有全局意义的根本性转变。28日，江泽民在全会上讲话，系统阐述了正确处理改革、发展、稳定关系等社会主义现代化建设中的12个重大关系。,1995年9月25日－1995年9月28日,,会议事件,,,,,,,,,,,
1995年中央军委扩大会议,,,1995年12月,,会议事件,,,,,,,,,,,
《中国共产党地方委员会工作条例（试行）》,,,1996年4月5日,,文献事件,,,,,,,,,,,
《中国共产党地方委员会工作条例》,,,2015年12月25日,,文献事件,,,,,,,,,,,
中共十四届六中全会,,中共十四届六中全会召开。全会通过《关于加强社会主义精神文明建设若干重要问题的决议》。指出，社会主义社会是全面发展、全面进步的社会，社会主义现代化事业是物质文明和精神文明协调发展的事业。,1996年10月7日－1996年10月10日,,会议事件,,,,,,,,,,,
全国卫生工作会议,,,1996年12月9日－1996年12月12日,,会议事件,,,,,,,,,,,
《关于卫生改革与发展的决定》,,,1997年1月15日,,文献事件,,,,,,,,,,,
八届全国人大五次会议,,八届全国人大五次会议通过《中华人民共和国国防法》等；决定批准设立重庆直辖市，撤销原重庆市。,1997年3月14日,,会议事件,,,,,,,,,,,
《中国共产党党员领导干部廉洁从政若干准则（试行）》,,,1997年3月28日,,文献事件,,,,,,,,,,,
《中国共产党党员领导干部廉洁从政若干准则》,,,2010年1月18日,,文献事件,,中共中央,,,,,,,,,
《关于党政机关厉行节约制止奢侈浪费行为的若干规定》,,,1997年5月25日,,文献事件,,"中共中央,国务院",,,,,,,,,
国家科技领导小组第三次会议,,,1997年6月4日,,会议事件,,,,,,,,,,,
《关于深化金融改革，整顿金融秩序，防范金融风险的通知》,,,1997年12月6日,,文献事件,,,,,,,,,,,
《关于在全国建立城市居民最低生活保障制度的通知》,,,1997年9月2日,,文献事件,,,,,,,,,,,
中国共产党第十五次全国代表大会,,大会正式代表2048人，特邀代表60人，代表全国5800多万党员。大会通过的报告《高举邓小平理论伟大旗帜，把建设有中国特色社会主义事业全面推向二十一世纪》，着重阐述邓小平理论的历史地位和指导意义；提出党在社会主义初级阶段的基本纲领；明确公有制为主体、多种所有制经济共同发展是我国社会主义初级阶段的一项基本经济制度；强调依法治国，建设社会主义法治国家；明确我国改革开放和现代化建设跨世纪发展的宏伟目标。大会通过《中国共产党章程修正案》，把邓小平理论同马克思列宁主义、毛泽东思想一道确立为党的指导思想并载入党章。,1997年9月12日－1997年9月18日,,会议事件,,,,,,,,,,,
